case_id,region,dice,hd95,nsd,volume_pred_ml,volume_ref_ml,volume_error_ml,relative_volume_error,reference_empty,prediction_empty,lesion_recall,lesion_precision,lesion_f1
BRATS_002,wt,0.23727389630486773,,,441.63,63.061,378.569,6.003219105310731,False,False,,,
BRATS_002,tc,0.33946360153256705,,,40.265,9.325000000000001,30.939999999999998,3.317962466487935,False,False,,,
BRATS_002,et,0.0019056693663649356,,,0.177,8.219,-8.042,-0.9784645333982237,False,False,,,
BRATS_005,wt,0.28723199238979347,,,407.086,80.68,326.406,4.045686663361428,False,False,,,
BRATS_005,tc,0.22325050916496944,,,16.11,45.265,-29.155,-0.6440958798188446,False,False,,,
BRATS_005,et,0.009541984732824428,,,0.511,18.353,-17.842000000000002,-0.9721571405219855,False,False,,,
BRATS_006,wt,0.4658007033102661,,,411.382,217.359,194.023,0.8926384460730864,False,False,,,
BRATS_006,tc,0.1924429403084784,,,28.774,107.443,-78.669,-0.7321928836685498,False,False,,,
BRATS_006,et,0.000898169978668463,,,1.157,43.378,-42.221000000000004,-0.9733274931993177,False,False,,,
BRATS_021,wt,0.20169153241368665,,,403.796,49.639,354.157,7.134652188803158,False,False,,,
BRATS_021,tc,0.6152154353693892,,,21.138,38.88,-17.742,-0.45632716049382716,False,False,,,
BRATS_021,et,0.03455185486054698,,,0.609,17.856,-17.247,-0.965893817204301,False,False,,,
BRATS_024,wt,0.1083320089811453,,,460.366,30.44,429.926,14.123718791064388,False,False,,,
BRATS_024,tc,0.33781891723708773,,,21.225,4.487,16.738,3.730332070425674,False,False,,,
BRATS_024,et,0.0,,,1.375,0.0,1.375,,True,False,,,
BRATS_029,wt,0.0052846985156824655,,,511.32,18.89,492.43,26.068290100582317,False,False,,,
BRATS_029,tc,0.0,,,5.506,9.329,-3.8230000000000004,-0.40979740593847147,False,False,,,
BRATS_029,et,0.0,,,0.223,0.0,0.223,,True,False,,,
BRATS_031,wt,0.1066769190149408,,,400.208,31.563000000000002,368.64500000000004,11.679656559896081,False,False,,,
BRATS_031,tc,0.3176793635147504,,,15.540000000000001,12.866,2.6740000000000013,0.20783460282916225,False,False,,,
BRATS_031,et,0.10545129579982127,,,0.653,6.061,-5.4079999999999995,-0.8922620029698068,False,False,,,
BRATS_038,wt,0.5169602377594579,,,377.331,150.934,226.39700000000002,1.4999734983502724,False,False,,,
BRATS_038,tc,0.7227700595569697,,,70.903,103.21600000000001,-32.313,-0.3130619283831964,False,False,,,
BRATS_038,et,0.020631927848298887,,,1.816,81.453,-79.637,-0.9777049341337949,False,False,,,
BRATS_039,wt,0.1603009549962883,,,321.312,37.014,284.298,7.680823472199708,False,False,,,
BRATS_039,tc,0.7595594983175283,,,13.346,12.806000000000001,0.5399999999999991,0.04216773387474614,False,False,,,
BRATS_039,et,0.10176744186046512,,,0.843,9.907,-9.064,-0.9149086504491774,False,False,,,
BRATS_044,wt,0.19001811572177169,,,370.959,40.286,330.673,8.208136821724668,False,False,,,
BRATS_044,tc,0.6061489058039962,,,22.901,10.731,12.17,1.1340974746062809,False,False,,,
BRATS_044,et,0.06665155293584221,,,0.801,8.021,-7.220000000000001,-0.9001371400074804,False,False,,,
BRATS_046,wt,0.4433086621127382,,,357.13,116.161,240.969,2.0744397861588655,False,False,,,
BRATS_046,tc,0.7920151334129829,,,64.693,96.011,-31.317999999999998,-0.32619179052400243,False,False,,,
BRATS_046,et,0.012455650335925115,,,0.794,78.688,-77.894,-0.9899095160634405,False,False,,,
BRATS_053,wt,0.25159458854490263,,,403.735,74.288,329.447,4.434727008399742,False,False,,,
BRATS_053,tc,0.5919655597745906,,,19.065,22.282,-3.2169999999999987,-0.14437662687370967,False,False,,,
BRATS_053,et,0.03871365774658749,,,0.4,12.567,-12.167,-0.9681706055542293,False,False,,,
BRATS_054,wt,0.44433240043565864,,,380.276,127.461,252.815,1.9834694534014325,False,False,,,
BRATS_054,tc,0.4436324556689952,,,51.67,22.77,28.900000000000002,1.26921387790953,False,False,,,
BRATS_054,et,0.027804931030737483,,,1.793,7.414000000000001,-5.621,-0.7581602373887241,False,False,,,
BRATS_055,wt,0.4454035858748443,,,426.16200000000003,145.41400000000002,280.74800000000005,1.9306806772387803,False,False,,,
BRATS_055,tc,0.35341640074963276,,,61.844,17.128,44.716,2.6106959364782814,False,False,,,
BRATS_055,et,0.012909319899244332,,,0.5680000000000001,12.136000000000001,-11.568000000000001,-0.953197099538563,False,False,,,
BRATS_056,wt,0.46638198629647215,,,397.345,148.062,249.28300000000002,1.6836392862449514,False,False,,,
BRATS_056,tc,0.35315680584290254,,,54.967,17.052,37.915,2.2234928454140275,False,False,,,
BRATS_056,et,0.016493630807746115,,,1.52,12.061,-10.541,-0.873973965674488,False,False,,,
BRATS_057,wt,0.4532584735919021,,,422.244,141.655,280.58900000000006,1.9807913592884123,False,False,,,
BRATS_057,tc,0.3824548711186828,,,62.651,23.048000000000002,39.603,1.7182835820895521,False,False,,,
BRATS_057,et,0.030251141552511414,,,1.076,16.444,-15.367999999999999,-0.9345657990756506,False,False,,,
BRATS_058,wt,0.4373380180588613,,,386.101,143.279,242.822,1.6947494050070144,False,False,,,
BRATS_058,tc,0.2583536950436091,,,42.884,18.915,23.969,1.267195347607719,False,False,,,
BRATS_058,et,0.0106951871657754,,,1.3900000000000001,8.334,-6.943999999999999,-0.8332133429325653,False,False,,,
BRATS_063,wt,0.39553365282008496,,,371.625,143.785,227.84,1.5845881002886255,False,False,,,
BRATS_063,tc,0.3262967286936218,,,48.062,35.88,12.181999999999995,0.3395206243032328,False,False,,,
BRATS_063,et,0.0,,,1.104,8.266,-7.162,-0.8664408420033873,False,False,,,
BRATS_075,wt,0.46119912915141187,,,363.947,126.60900000000001,237.338,1.8745744773278359,False,False,,,
BRATS_075,tc,0.6261440258922952,,,55.493,55.737,-0.24399999999999977,-0.004377702423883592,False,False,,,
BRATS_075,et,0.0019182461749257822,,,2.4010000000000002,41.389,-38.988,-0.9419894174780739,False,False,,,
BRATS_078,wt,0.29527389771373114,,,403.31100000000004,85.083,318.22800000000007,3.740206621769332,False,False,,,
BRATS_078,tc,0.15958837910057422,,,57.465,12.891,44.574000000000005,3.4577612287642547,False,False,,,
BRATS_078,et,0.03205813207950417,,,1.0070000000000001,3.672,-2.665,-0.7257625272331154,False,False,,,
BRATS_082,wt,0.5185349524379829,,,368.434,140.901,227.53300000000002,1.6148430458265022,False,False,,,
BRATS_082,tc,0.858895983952147,,,100.618,119.723,-19.105000000000004,-0.15957668952498688,False,False,,,
BRATS_082,et,0.011054977711738485,,,1.049,116.726,-115.67699999999999,-0.9910131418878398,False,False,,,
BRATS_083,wt,0.22710295291300878,,,375.206,63.344,311.862,4.923307653447841,False,False,,,
BRATS_083,tc,0.7177895200352268,,,24.224,21.196,3.0279999999999987,0.1428571428571428,False,False,,,
BRATS_083,et,0.08611380312889381,,,1.357,13.089,-11.732000000000001,-0.8963251585300634,False,False,,,
BRATS_089,wt,0.5821320712508039,,,389.84000000000003,182.336,207.50400000000002,1.138030888030888,False,False,,,
BRATS_089,tc,0.4175624290824679,,,72.26,43.191,29.069000000000003,0.6730337338797435,False,False,,,
BRATS_089,et,0.011299797759301468,,,1.108,30.043,-28.935,-0.963119528675565,False,False,,,
BRATS_091,wt,0.5376283140126166,,,400.234,157.285,242.94899999999998,1.5446418921066853,False,False,,,
BRATS_091,tc,0.6804907905599681,,,92.113,83.522,8.590999999999994,0.10285912693661542,False,False,,,
BRATS_091,et,0.0006989864696190524,,,0.531,39.527,-38.996,-0.9865661446606118,False,False,,,
